Players,Adjust factor,Games,Liberal wins,Fascist wins,HC wins,HS wins,L Policies,F Policies,Total Policies,Average Anarchies,FCC,HCC,LCPC,HCPC,HCCC,HV
6,1.0,1000,582,418,240,36,4038,3885,7923,0.672,1,0,0,1,0,0
6,1.0,1000,681,319,195,36,4288,3617,7905,0.556,1,0,0,1,0,1
6,1.0,1000,697,303,191,36,4431,3542,7973,0.377,1,0,0,1,1,0
6,1.0,1000,779,221,138,28,4586,3283,7869,0.293,1,0,0,1,1,1
6,1.0,1000,476,524,248,30,3513,4175,7688,1.054,1,0,1,0,0,0
6,1.0,1000,568,432,221,24,3873,3848,7721,0.893,1,0,1,0,0,1
6,1.0,1000,568,432,248,40,3994,3915,7909,0.602,1,0,1,0,1,0
6,1.0,1000,679,321,155,49,4280,3707,7987,0.453,1,0,1,0,1,1
6,1.0,1000,497,503,242,33,3668,4119,7787,0.994,1,0,1,1,0,0
6,1.0,1000,573,427,214,28,3893,3924,7817,0.851,1,0,1,1,0,1
6,1.0,1000,654,346,188,39,4263,3678,7941,0.496,1,0,1,1,1,0
6,1.0,1000,716,284,162,45,4412,3556,7968,0.423,1,0,1,1,1,1
6,1.0,1000,368,632,315,61,3496,4615,8111,0.782,1,1,0,0,0,0
6,1.0,1000,416,584,271,62,3682,4530,8212,0.709,1,1,0,0,0,1
6,1.0,1000,498,502,298,61,3964,4165,8129,0.432,1,1,0,0,1,0
6,1.0,1000,543,457,269,51,4074,4041,8115,0.397,1,1,0,0,1,1
6,1.0,1000,553,447,270,53,4029,4007,8036,0.53,1,1,0,1,0,0
6,1.0,1000,584,416,244,48,4206,3970,8176,0.473,1,1,0,1,0,1
6,1.0,1000,671,329,220,42,4380,3494,7874,0.337,1,1,0,1,1,0
6,1.0,1000,733,267,184,40,4509,3300,7809,0.221,1,1,0,1,1,1
6,1.0,1000,287,713,321,44,3161,4766,7927,1.032,1,1,1,0,0,0
6,1.0,1000,327,673,278,33,3281,4697,7978,1.004,1,1,1,0,0,1
6,1.0,1000,463,537,250,49,3851,4313,8164,0.616,1,1,1,0,1,0
6,1.0,1000,464,536,282,52,3844,4256,8100,0.555,1,1,1,0,1,1
6,1.0,1000,401,599,271,41,3554,4476,8030,0.934,1,1,1,1,0,0
6,1.0,1000,474,526,248,50,3813,4337,8150,0.793,1,1,1,1,0,1
6,1.0,1000,612,388,234,49,4155,3702,7857,0.439,1,1,1,1,1,0
6,1.0,1000,664,336,195,43,4350,3541,7891,0.348,1,1,1,1,1,1
6,1.0,1000,379,621,178,41,3653,4806,8459,0.778,2,0,0,0,0,0
6,1.0,1000,436,564,186,34,3821,4614,8435,0.773,2,0,0,0,0,1
6,1.0,1000,498,502,176,45,4001,4427,8428,0.478,2,0,0,0,1,0
6,1.0,1000,593,407,154,40,4201,4181,8382,0.443,2,0,0,0,1,1
6,1.0,1000,477,523,176,29,3904,4467,8371,0.688,2,0,0,1,0,0
6,1.0,1000,497,503,203,26,3958,4304,8262,0.684,2,0,0,1,0,1
6,1.0,1000,653,347,128,36,4370,3909,8279,0.319,2,0,0,1,1,0
6,1.0,1000,687,313,134,25,4469,3766,8235,0.252,2,0,0,1,1,1
