Players,Adjust factor,Games,Liberal wins,Fascist wins,HC wins,HS wins,L Policies,F Policies,Total Policies,Average Anarchies,FCC,HCC,LCPC,HCPC,HCCC,HV
6,1.0,1000,502,498,248,27,3691,4157,7848,0.911,0,0,1,1,0,0
6,1.0,1000,596,404,204,23,3973,3848,7821,0.896,0,0,1,1,0,1
6,1.0,1000,641,359,202,35,4243,3692,7935,0.449,0,0,1,1,1,0
6,1.0,1000,732,268,152,46,4446,3484,7930,0.384,0,0,1,1,1,1
6,1.0,1000,360,640,322,55,3474,4602,8076,0.761,0,1,0,0,0,0
6,1.0,1000,403,597,287,46,3734,4483,8217,0.734,0,1,0,0,0,1
6,1.0,1000,498,502,304,59,3937,4150,8087,0.473,0,1,0,0,1,0
6,1.0,1000,538,462,257,44,4087,4073,8160,0.416,0,1,0,0,1,1
6,1.0,1000,505,495,276,36,3944,4134,8078,0.587,0,1,0,1,0,0
6,1.0,1000,608,392,233,65,4195,3926,8121,0.478,0,1,0,1,0,1
6,1.0,1000,691,309,204,37,4428,3426,7854,0.29,0,1,0,1,1,0
6,1.0,1000,741,259,175,41,4546,3332,7878,0.284,0,1,0,1,1,1
6,1.0,1000,296,704,297,41,3169,4797,7966,1.058,0,1,1,0,0,0
6,1.0,1000,316,684,278,45,3217,4728,7945,0.953,0,1,1,0,0,1
6,1.0,1000,411,589,328,42,3716,4330,8046,0.592,0,1,1,0,1,0
6,1.0,1000,486,514,253,51,3879,4202,8081,0.5,0,1,1,0,1,1
6,1.0,1000,418,582,272,56,3577,4409,7986,0.902,0,1,1,1,0,0
6,1.0,1000,508,492,238,50,3829,4180,8009,0.763,0,1,1,1,0,1
6,1.0,1000,613,387,233,37,4164,3611,7775,0.397,0,1,1,1,1,0
6,1.0,1000,688,312,179,46,4391,3496,7887,0.314,0,1,1,1,1,1
6,1.0,1000,516,484,262,37,3766,4082,7848,0.797,1,0,0,0,0,0
6,1.0,1000,631,369,194,42,4175,3807,7982,0.651,1,0,0,0,0,1
6,1.0,1000,604,396,241,38,4164,3821,7985,0.443,1,0,0,0,1,0
6,1.0,1000,703,297,154,36,4438,3595,8033,0.404,1,0,0,0,1,1
6,1.0,1000,557,443,265,30,4029,3905,7934,0.697,1,0,0,1,0,0
6,1.0,1000,660,340,196,37,4229,3681,7910,0.555,1,0,0,1,0,1
6,1.0,1000,690,310,205,30,4392,3529,7921,0.359,1,0,0,1,1,0
6,1.0,1000,745,255,166,34,4520,3400,7920,0.303,1,0,0,1,1,1
6,1.0,1000,468,532,252,22,3547,4174,7721,1.099,1,0,1,0,0,0
6,1.0,1000,552,448,226,15,3808,3868,7676,0.896,1,0,1,0,0,1
6,1.0,1000,584,416,226,41,3988,3858,7846,0.561,1,0,1,0,1,0
6,1.0,1000,660,340,166,54,4242,3724,7966,0.508,1,0,1,0,1,1
6,1.0,1000,517,483,255,35,3727,4043,7770,0.901,1,0,1,1,0,0
6,1.0,1000,608,392,220,22,4013,3705,7718,0.732,1,0,1,1,0,1
6,1.0,1000,633,367,220,45,4187,3723,7910,0.534,1,0,1,1,1,0
6,1.0,1000,714,286,171,46,4428,3470,7898,0.401,1,0,1,1,1,1
6,1.0,1000,344,656,320,55,3508,4647,8155,0.837,1,1,0,0,0,0
6,1.0,1000,408,592,294,56,3688,4523,8211,0.696,1,1,0,0,0,1
6,1.0,1000,496,504,295,62,3927,4199,8126,0.517,1,1,0,0,1,0
6,1.0,1000,533,467,255,60,4038,4124,8162,0.435,1,1,0,0,1,1
6,1.0,1000,519,481,268,53,3986,4103,8089,0.644,1,1,0,1,0,0
6,1.0,1000,580,420,238,50,4171,3956,8127,0.512,1,1,0,1,0,1
6,1.0,1000,662,338,222,24,4413,3393,7806,0.27,1,1,0,1,1,0
6,1.0,1000,746,254,162,35,4546,3277,7823,0.242,1,1,0,1,1,1
6,1.0,1000,282,718,312,38,3133,4810,7943,1.044,1,1,1,0,0,0
6,1.0,1000,359,641,262,38,3424,4632,8056,0.893,1,1,1,0,0,1
6,1.0,1000,435,565,295,39,3755,4310,8065,0.64,1,1,1,0,1,0
6,1.0,1000,482,518,251,57,3879,4266,8145,0.527,1,1,1,0,1,1
6,1.0,1000,422,578,271,52,3603,4412,8015,0.901,1,1,1,1,0,0
6,1.0,1000,504,496,224,47,3858,4219,8077,0.769,1,1,1,1,0,1
6,1.0,1000,629,371,214,51,4236,3639,7875,0.403,1,1,1,1,1,0
6,1.0,1000,684,316,172,54,4394,3528,7922,0.307,1,1,1,1,1,1
6,1.0,1000,375,625,184,36,3621,4806,8427,0.87,2,0,0,0,0,0
6,1.0,1000,460,540,193,31,3863,4572,8435,0.729,2,0,0,0,0,1
6,1.0,1000,514,486,151,55,4020,4470,8490,0.467,2,0,0,0,1,0
6,1.0,1000,587,413,142,38,4240,4208,8448,0.423,2,0,0,0,1,1
6,1.0,1000,447,553,189,35,3833,4572,8405,0.736,2,0,0,1,0,0
6,1.0,1000,559,441,172,34,4039,4252,8291,0.605,2,0,0,1,0,1
6,1.0,1000,635,365,145,22,4358,3933,8291,0.321,2,0,0,1,1,0
6,1.0,1000,691,309,139,31,4445,3778,8223,0.295,2,0,0,1,1,1
6,1.0,1000,290,710,170,9,3207,4948,8155,1.12,2,0,1,0,0,0
6,1.0,1000,353,647,211,18,3388,4724,8112,1.028,2,0,1,0,0,1
6,1.0,1000,448,552,148,43,3819,4566,8385,0.579,2,0,1,0,1,0
6,1.0,1000,548,452,142,61,4028,4401,8429,0.474,2,0,1,0,1,1
6,1.0,1000,340,660,159,23,3374,4902,8276,1.055,2,0,1,1,0,0
6,1.0,1000,379,621,205,24,3500,4670,8170,0.97,2,0,1,1,0,1
6,1.0,1000,580,420,158,25,4175,4069,8244,0.423,2,0,1,1,1,0
6,1.0,1000,620,380,132,31,4254,4005,8259,0.436,2,0,1,1,1,1
6,1.0,1000,273,727,218,30,3393,5065,8458,0.938,2,1,0,0,0,0
6,1.0,1000,318,682,245,46,3470,4882,8352,0.706,2,1,0,0,0,1
6,1.0,1000,457,543,210,45,3924,4472,8396,0.548,2,1,0,0,1,0
6,1.0,1000,473,527,212,41,3947,4369,8316,0.456,2,1,0,0,1,1
6,1.0,1000,473,527,202,38,3868,4396,8264,0.634,2,1,0,1,0,0
6,1.0,1000,515,485,223,33,4052,4343,8395,0.476,2,1,0,1,0,1
6,1.0,1000,666,334,169,41,4381,3640,8021,0.266,2,1,0,1,1,0
6,1.0,1000,686,314,179,28,4451,3544,7995,0.257,2,1,0,1,1,1
6,1.0,1000,189,811,180,24,2985,5246,8231,1.159,2,1,1,0,0,0
6,1.0,1000,203,797,213,29,2921,5228,8149,1.026,2,1,1,0,0,1
6,1.0,1000,387,613,176,52,3652,4696,8348,0.689,2,1,1,0,1,0
6,1.0,1000,408,592,216,46,3719,4568,8287,0.495,2,1,1,0,1,1
6,1.0,1000,354,646,173,38,3440,4805,8245,0.953,2,1,1,1,0,0
6,1.0,1000,384,616,193,30,3561,4717,8278,0.802,2,1,1,1,0,1
